id,sales_date,product,quantity,sales_amount
130,2026-05-10,Auriculares Pro,2,926
131,2026-05-11,Teclado Mecánico RGB,3,1041
132,2026-05-12,Auriculares Pro,3,933
133,2026-05-13,Mouse Ergonómico,2,96
134,2026-05-14,Auriculares Pro,2,916
135,2026-05-15,Teclado Mecánico RGB,3,872
136,2026-05-16,Teclado Mecánico RGB,3,985
137,2026-05-17,Mouse Ergonómico,4,705
138,2026-05-18,Monitor 24 Pulgadas,4,318
139,2026-05-19,Monitor 24 Pulgadas,2,419
140,2026-05-20,Auriculares Pro,4,685
141,2026-05-21,Laptop Core i7,1,1179
142,2026-05-22,Auriculares Pro,4,706
143,2026-05-23,Mouse Ergonómico,4,169
144,2026-05-24,Mouse Ergonómico,1,880
145,2026-05-25,Mouse Ergonómico,2,1131
